id	lastName	givenName1	givenName2	dateOfBirth	sex	isAlive	locality	postcode	originalContext	recordDate
1082	Julian	Aubrey	Hal	1953-04-10	M	Y	Kingsholme	4208	null	2012-01-26
1083	Chappel	Jessie	Ronnie	1978-07-01	M	Y	Ophir	2800	null	2005-12-27
1084	Cummings	Javier	Rory	1955-01-16	M	Y	Griffith (NSW)	2680	null	2010-05-10
1085	Deegan	Palmer	Orlando	1982-05-21	M	Y	Great Britain	International	null	2004-04-28
1086	Blanton	Lena	Mable	1938-02-07	F	Y	Chandlers Hill	5159	null	2000-06-03
1087	Saleh	Adela	Karon	1940-01-24	F	Y	Fairfield East	2165	null	2006-08-23
1088	Trimble	Guy	Lincoln	1957-12-04	M	Y	Nambucca Heads	2448	null	2007-03-12
1089	Dolan	Annmarie	Araceli	1992-02-21	F	Y	Cranbourne North	3977	null	2008-02-13
1090	Passmore	Graig	Keith	1947-01-25	M	N	Bohle Plains	4817	null	2015-06-10
1091	Boutwell	Wm	Lynn	1967-10-17	M	Y	Kyeemagh	2216	null	2003-03-05
1092	Bartels	Alfonso	Robin	1958-01-01	M	Y	Tugun	4223	null	2014-09-25
1093	Vinson	Rodger	Ernie	1945-04-21	M	Y	Chile	International	null	1999-11-08
1094	Gossett	Jenni	Staci	1967-06-28	F	Y	Springfield Lakes	4300	null	2003-07-01
1095	Giroux	William	Dori	1969-10-27	F	Y	North Melbourne	3051	null	2006-12-02
1096	Reaves	Jay	Will	2003-12-10	M	Y	Altona Meadows	3028	null	2016-05-06
1097	Folger	Demetra	Aimee	1957-07-05	F	Y	Labrador	4215	null	2013-02-01
1098	Swingle	Suzette	Jeri	1990-09-14	F	Y	Aberdeen (Tas.)	7310	null	2006-12-10
1099	Sweeten	Jean	Raleigh	1942-12-20	M	Y	Migratory - Offshore - Shipping (OT)	9797	null	2008-06-21
1100	Warner	Noble	Thanh	1996-04-10	M	Y	Keperra	4054	null	2002-12-05
1101	Ogg	David	Sidney	2010-12-02	M	Y	Noosaville	4566	null	2015-09-09
1102	Storer	Kia	Brook	1968-03-26	F	Y	Upper Kedron	4055	null	2002-11-03
1103	Keck	Mose	Nestor	1964-06-11	M	Y	Leichhardt (Qld)	4305	null	2002-02-17
1104	Geyer	Arturo	Margarito	1981-03-02	M	Y	Macgregor (ACT)	2615	null	2016-06-12
1105	Eby	Mirna	Millicent	1937-07-27	F	Y	Mascot	2020	null	1999-04-10
1106	Kell	Jeremiah	Herman	1971-09-15	M	Y	Harrington Park	2567	null	2006-08-20
1107	Criswell	Nannette	Lakisha	1944-03-21	F	Y	Woodcroft (SA)	5162	null	2008-06-16
1108	Towle	Lowell	Jared	1981-11-27	M	Y	Darlington (WA)	6070	null	2013-11-17
1109	Peer	Krystyna	Ina	1991-03-02	F	Y	Neutral Bay	2089	null	2005-06-12
1110	Hocker	Jeanine	Vina	1993-11-01	F	Y	Shenton Park	6008	null	2003-04-21
1111	Wike	Percy	Raphael	1994-09-10	M	Y	White Rock (Cairns - Qld)	4868	null	2011-04-25
1112	Racine	Jacob	Mary	1966-01-23	M	Y	Labrador	4215	null	2001-11-20
1113	Wolcott	Arden	Adolph	1937-02-02	M	Y	El Salvador	International	null	2004-02-01
1114	Amato	Ezra	Landon	1996-03-12	M	Y	Lenah Valley	7008	null	2000-12-20
1115	Lafferty	Donna	Moira	1954-06-16	F	Y	Chandler (Qld)	4157	null	2004-04-17
1116	Rosenberger	Von	Renato	1951-09-02	M	N	Brahma Lodge	5109	null	2015-01-09
1117	Lovette	Isabel	Jayne	1968-08-21	F	Y	Willetton	6155	null	2003-10-11
1118	Nesbit	Thanh	Jermaine	1995-05-07	M	Y	Delacombe	3356	null	2011-08-21
1119	Vanness	Alden	Cleo	1936-06-07	M	N	Cleveland (Qld)	4163	null	2001-11-02
1120	Breeden	Mae	Lila	2001-08-18	F	Y	Emerald (Vic.)	3782	null	2012-10-24
1121	Robinett	Gale	Mei	1965-08-08	F	Y	Thornlie	6108	null	2014-06-13
1122	Molnar	Chantelle	Marcelina	2000-09-18	F	Y	Papua New Guinea	International	null	2017-08-18
1123	Hough	Zachariah	Benedict	1995-09-17	M	Y	Valentine (NSW)	2280	null	2018-02-18
1124	Maul	Xiomara	Kathryne	1971-04-23	F	Y	Nicaragua	International	null	2007-10-09
1125	Lavery	Prince	Evan	1995-03-12	M	Y	Hewett	5118	null	2003-12-13
1126	Karim	Jenny	Zena	1945-11-05	F	Y	Humpty Doo	0836	null	1999-03-03
1127	Stamey	Marianna	Hailey	1981-06-10	F	Y	Freshwater Creek	3216	null	2004-11-11
1128	Eby	Mel	Felton	1961-03-18	M	Y	Ridgewood (WA)	6030	null	2003-02-04
1129	Billings	Ashly	Iola	1939-10-05	F	N	Dewhurst	3808	null	2002-10-11
1130	Duffield	Idalia	Verda	1968-04-22	F	Y	Brunswick West	3055	null	2006-07-12
1131	Lindsay	Modesto	Darron	1998-07-01	M	Y	Fortitude Valley	4006	null	2008-08-28
1132	Rahman	Jenny	Roseann	1938-10-12	F	N	North Curl Curl	2099	null	2003-08-10
1133	Schnell	Gil	Jarod	1955-12-05	M	Y	Germany	International	null	2010-12-03
1134	Mckeon	Eloy	Elmo	1974-06-04	M	Y	Hawks Nest	2324	null	2003-06-09
1135	Stjean	Antoine	Louie	1971-11-13	M	Y	Clemton Park	2206	null	2001-03-02
1136	Beavers	Charles	Elroy	1962-07-15	M	N	Mount Eliza	3930	null	2018-04-22
1137	March	Carl	Foster	1959-03-03	M	Y	Karratha	6714	null	2014-01-06
1138	Hornung	Deloris	Sammie	1985-06-01	F	Y	Niger	International	null	2017-10-09
1139	Shackelford	Isabelle	Yvette	1959-09-21	F	Y	Everton Hills	4053	null	2011-11-10
1140	Bridgewater	Priscilla	Deirdre	2000-02-09	F	Y	Auburn (NSW)	2144	null	2005-01-10
1141	Shahan	Emilio	Sid	1962-07-20	M	Y	India	International	null	2010-06-07
1142	Lundgren	Caitlyn	Leesa	1960-10-01	F	Y	Highgate Hill	4101	null	2013-03-02
1143	Poore	Ralph	Noah	1945-05-18	M	N	Eatons Hill	4037	null	2008-06-03
1144	Coleman	Stanton	Lane	1942-01-19	M	Y	Flemington	3031	null	2010-12-16
1145	Yao	Dorsey	Adolph	1958-05-18	M	Y	North Shore (NSW)	2444	null	1999-05-26
1146	Tripp	Rolland	Alva	1941-05-13	M	Y	Doolandella	4077	null	2010-10-15
1147	Busby	Hellen	Josefina	1989-02-22	F	Y	Oakleigh South	3167	null	2011-01-18
1148	Shoemake	Joel	Ronald	1948-09-04	M	Y	Pinny Beach	2281	null	2016-09-01
1149	Mccune	Nella	Silvia	1978-11-03	F	Y	Bankstown	2190	null	2005-04-19
1150	Madison	Corinna	Ginger	1993-12-28	F	Y	Beverly Hills	2209	null	2004-04-18
1151	Forshee	Virgil	Elias	1978-12-13	M	Y	Yanchep	6035	null	2000-10-13
1152	Balmer	Hai	Lynn	1942-12-18	M	Y	Broadbeach	4218	null	2010-01-09
1153	Bevis	Christie	Donita	2006-12-02	F	Y	Ethiopia	International	null	2010-07-08
1154	Beverly	Rosalba	Estella	1942-03-10	F	Y	Kingsbury	3083	null	1999-08-06
1155	Dukes	Cheryle	Bethany	1989-06-10	F	Y	East Hills	2213	null	2018-12-13
1156	Loucks	Adeline	Racquel	1977-04-10	F	Y	Doncaster East	3109	null	2001-04-17
1157	Correia	Saundra	Wendy	1995-05-26	F	N	Emu Heights (NSW)	2750	null	2004-10-23
1158	Noland	Frederic	Vince	1944-10-15	M	Y	Estonia	International	null	2002-02-04
1159	Liska	Omer	Henry	1954-05-26	M	N	Malta	International	null	2015-08-27
1160	Beggs	Beau	Frances	1964-03-15	M	Y	Tahmoor	2573	null	2003-09-19
1161	Jacob	Isreal	Scotty	2004-05-06	M	Y	Largs	2320	null	2009-07-12
1162	Shade	Cari	Malissa	1949-05-03	F	Y	Urraween	4655	null	2001-07-07
1163	Mee	Noble	Jarrett	1935-02-03	M	N	Neutral Bay	2089	null	2004-06-16
1164	Straley	Jeannette	Katie	1942-03-22	F	Y	Thornlie	6108	null	2001-07-12
1165	Eiland	Coleen	Kenyatta	1948-09-02	F	Y	Upper Coomera	4209	null	2006-02-11
1166	Kress	Millie	Tomasa	1950-09-09	F	Y	Long Jetty	2261	null	1999-01-27
1167	Northrop	Ladonna	Pearl	1938-06-23	F	Y	Derrimut	3030	null	2004-01-05
1168	Seaton	Thomas	Russel	1960-08-14	M	Y	Woodlands (WA)	6018	null	2006-12-01
1169	Maurice	Lani	Callie	1970-12-18	F	Y	Yerra	4650	null	2000-09-28
1170	Calvin	Marlin	Quintin	1965-01-07	M	N	Lane Cove North	2066	null	2015-06-05
1171	Eaves	Bertie	Pauline	1996-01-07	F	Y	Wantirna South	3152	null	2000-08-23
1172	Burnell	Shelby	Marcia	1992-10-20	F	Y	Killara (NSW)	2071	null	2005-10-15
1173	Krug	Wynona	Rebekah	1940-06-28	F	Y	Emu Plains	2750	null	2007-12-25
1174	Whitlock	Lillie	Rosalind	1955-07-04	F	Y	Blackbutt (NSW)	2529	null	2001-01-07
1175	Garrity	Delmer	Edwin	2006-10-11	M	Y	Pindimar	2324	null	2016-03-21
1176	Ide	Fatima	Eun	1960-12-20	F	Y	Wishart (Qld)	4122	null	2009-10-14
1177	Armitage	Maggie	Emogene	1949-04-22	F	N	Willow Vale (Qld)	4209	null	2018-03-06
1178	Bosworth	Marylou	Jammie	2001-08-27	F	Y	Auburn (NSW)	2144	null	2017-09-12
1179	Mccarty	Matt	Adam	1987-12-02	M	Y	Reedy Marsh	7304	null	2006-11-12
1180	Waldron	Roberta	Kerri	1991-10-20	F	Y	Newtown (NSW)	2042	null	2009-01-02
1181	Plott	Yasmin	Thomas	1963-08-11	F	Y	Noble Park	3174	null	2014-08-24
1182	Probst	Dorothea	Lindsay	1983-02-27	F	Y	Laverton (Vic.)	3028	null	2010-08-13
1183	Plyler	Enedina	Lakesha	1984-02-19	F	Y	Underdale	5032	null	2006-02-19
1184	List	Marry	Yasmin	1985-10-07	F	Y	Trafalgar South	3824	null	2005-03-14
1185	Spradlin	Marcella	Dottie	1937-11-15	F	N	Marrickville	2204	null	2002-03-26
1186	Rathbun	Mitch	Gayle	1937-12-13	M	Y	Southport (Qld)	4215	null	2006-09-22
1187	Keefer	Karen	Polly	2000-10-04	F	Y	Wombat	2587	null	2006-05-04
1188	Raney	Milton	Delmer	1948-03-09	M	Y	Allawah	2218	null	2002-09-25
1189	Buster	Joel	Mario	1964-06-13	M	Y	Darlinghurst	2010	null	2002-06-18
1190	Pumphrey	Archie	Martin	1996-11-17	M	Y	South Yarra	3141	null	2004-10-05
1191	Tidwell	Melvin	Harley	1944-12-19	M	N	Mango Hill	4509	null	2006-01-05
1192	Rochelle	Lara	Marta	1997-08-01	F	Y	Kingston (Tas.)	7050	null	2015-02-25
1193	Russell	Sue	Sherrill	1990-12-06	F	Y	Corio	3214	null	2008-03-05
1194	Rappaport	Corrie	Sun	1969-08-11	F	Y	Maribyrnong	3032	null	2000-01-17
1195	Deeter	Miquel	Reinaldo	1945-03-26	M	Y	Browns Plains (Qld)	4118	null	2007-12-05
1196	Ripley	Merrill	Wilfred	1936-09-07	M	Y	Redcliffe (WA)	6104	null	2005-09-20
1197	Steadman	Weldon	Kareem	1936-05-08	M	Y	Williamtown	2318	null	2002-06-04
1198	Hendley	Adrianna	Cassidy	1996-01-02	F	Y	Big Hill (Greater Bendigo - Vic.)	3555	null	2004-12-14
1199	Jolly	Mina	Felecia	1969-05-05	F	Y	Ravenswood (Tas.)	7250	null	2002-11-14
1200	Siebert	Allison	Belinda	1951-10-13	F	Y	Lesley	6111	null	2007-02-18
1201	Fasano	Josefina	Dee	1941-05-21	F	Y	Yangebup	6164	null	2001-02-19
1202	Nye	Jennie	Marnie	1976-10-07	F	Y	Padstow	2211	null	2014-01-09
1203	Minter	Courtney	Neil	1979-07-21	M	Y	Carnegie	3163	null	2013-03-21
1204	Still	Karina	Alesia	1994-06-19	F	Y	North Wollongong	2500	null	2006-08-17
1205	Iverson	Mose	Abraham	1972-11-17	M	Y	Margate (Qld)	4019	null	1999-08-22
1206	Odum	Freddie	Majorie	1989-04-13	F	Y	Buninyong	3357	null	2004-03-18
1207	Beardsley	Gordon	Shaun	1953-06-08	M	Y	Park Orchards	3114	null	2017-12-10
1208	Nissen	Toby	Coleen	1971-10-06	F	Y	Maianbar	2230	null	1999-11-28
1209	Hargreaves	Derick	Reynaldo	1981-05-02	M	Y	Dandenong	3175	null	2006-06-10
1210	Bertsch	Bess	Mirian	1985-07-22	F	Y	Safety Bay	6169	null	2011-10-20
1211	Bolen	Dinah	Idalia	1974-04-27	F	Y	Lakemba	2195	null	2017-03-28
1212	Bradford	Lita	Ariel	1998-11-16	F	Y	Ashfield (NSW)	2131	null	2018-02-09
1213	Pixley	Leah	Denice	1964-01-20	F	Y	Highbury (SA)	5089	null	2000-06-20
1214	Lacey	Nolan	Esteban	1934-04-23	M	Y	Doncaster East	3109	null	2002-02-02
1215	Dillard	Dominique	Erwin	2001-02-11	M	Y	Lilyfield	2040	null	2011-06-21
1216	Fulton	Winnie	Estela	2000-03-28	F	Y	Loftus	2232	null	2011-12-09
1217	Walkup	Jackson	Logan	1974-07-24	M	Y	Bulgaria	International	null	2018-08-02
1218	Cosgrove	Earl	Garth	1957-07-26	M	Y	Argenton	2284	null	2007-08-18
1219	Reding	Alden	Isreal	1973-05-13	M	Y	Wangaratta South	3678	null	2013-12-21
1220	Leone	Dalia	Mindi	1978-03-19	F	Y	Bicton	6157	null	2015-07-24
1221	Hibbert	Lora	Delphine	1975-09-03	F	Y	Ocean Grove	3226	null	2004-03-23
1222	Fitzwater	Kory	Duane	1970-05-03	M	Y	Nicholls Rivulet	7112	null	2011-06-19
1223	Stmartin	Zella	Chrystal	1959-03-14	F	Y	Cartwright	2168	null	2010-08-10
1224	Palmer	Patricia	Quintin	1983-11-03	M	Y	Annandale (Qld)	4814	null	2003-05-22
1225	Hassell	Kenton	Felix	1941-01-27	M	Y	Chittaway Point	2261	null	2001-05-04
1226	Blanks	Sunny	Santos	1979-11-27	F	Y	South Maitland	2320	null	2000-02-08
1227	Vollmer	Clarissa	Demetra	1973-04-12	F	Y	Cherrybrook	2126	null	2016-12-11
1228	Mclemore	Pierre	Darell	1942-06-28	M	Y	Bomaderry	2541	null	2000-07-01
1229	Hildreth	Aurelio	Osvaldo	1952-10-19	M	N	Martin	6110	null	2018-10-18
1230	Motley	Annie	Malinda	1979-12-24	F	Y	Herdsman	6017	null	2006-08-22
1231	Demello	Genoveva	Hope	1975-09-07	F	Y	Templestowe Lower	3107	null	2000-02-21
1232	Wooley	Katelyn	Deborah	1964-03-14	F	Y	West Pennant Hills	2125	null	2003-09-26
1233	Ralls	Dessie	Tamela	1967-05-16	F	Y	Parklea	2768	null	2010-01-18
1234	Kelm	Gilda	Toni	1971-07-18	F	N	Honduras	International	null	2009-08-01
1235	Stamm	Kenneth	Genaro	1962-07-05	M	N	Laos	International	null	2011-08-25
1236	Ginn	Luciano	Herman	1947-09-17	M	Y	Glen Waverley	3150	null	2009-12-03
1237	Eklund	Keneth	Dalton	1955-09-21	M	Y	Jordan	International	null	2009-02-28
1238	Lease	Shanon	Claudette	1947-08-22	F	N	Elizabeth Bay	2011	null	2014-05-16
1239	Goodfellow	Franklin	Garth	1983-10-01	M	Y	Croydon (NSW)	2132	null	2012-10-17
1240	Baney	Shad	Darius	1962-10-03	M	Y	Keilor East	3033	null	2004-11-08
1241	Mccary	Delores	Audrey	1986-02-26	F	Y	Brunswick (Vic.)	3056	null	2000-06-15
1242	Hug	Duncan	Jamey	1964-06-28	M	Y	Kingsgrove	2208	null	2000-11-06
1243	Mork	Julia	Janine	2006-11-12	F	Y	Brighton (Tas.)	7030	null	2013-08-28
1244	Thelen	Carma	Elisha	1953-09-11	F	Y	Hinchinbrook (NSW)	2168	null	2013-04-04
1245	Pointer	Terrence	Desmond	1999-10-03	M	Y	Hamilton (Qld)	4007	null	2003-07-28
1246	Held	Saul	Joel	1954-09-24	M	Y	Hungary	International	null	1999-09-13
1247	Charpentier	Chanel	Joey	1952-06-01	F	N	Windang	2528	null	2016-01-06
1248	Mcdaniel	Barb	Loren	1976-05-07	F	Y	Burkina Faso	International	null	2012-09-07
1249	Woosley	Rubye	Patricia	1994-06-12	F	Y	South Korea	International	null	2004-12-09
1250	Ingalls	Arline	Ora	1973-08-20	F	Y	Hillsborough (Lake Macquarie - NSW)	2290	null	2001-02-13
1251	Scheel	Foster	Hosea	1945-09-27	M	Y	Healy	4825	null	2001-03-08
1252	Nader	Elise	Blanch	1981-04-16	F	Y	Equatorial Guinea	International	null	2004-10-24
1253	Stgeorge	Floyd	Sol	2004-06-06	M	Y	Cheltenham (Vic.)	3192	null	2013-06-14
1254	Whitcomb	Ileana	Ramona	1968-10-03	F	Y	Wooroonooran (Cairns - Qld)	4860	null	2001-06-02
1255	Truong	Joleen	Chasity	2000-06-06	F	Y	Berkeley Vale	2261	null	2004-03-16
1256	Houser	Lynette	Leonora	2008-08-07	F	Y	Sherwood (Qld)	4075	null	2017-01-16
1257	Latta	Hipolito	Angelo	1938-08-07	M	N	Glen Iris (Vic.)	3146	null	2006-08-27
1258	Schlenker	Eve	Cristine	1985-03-05	F	Y	Bibra Lake	6163	null	2015-01-13
1259	Hillard	Cherly	Shiela	1975-11-02	F	Y	East Cannington	6107	null	2009-03-15
1260	Gowan	Quinton	James	1945-10-26	M	Y	Pacific Pines	4211	null	2009-09-28
1261	Chancellor	Kayla	Dionne	1971-09-25	F	Y	Townsville City	4810	null	2016-11-23
1262	Cairns	Taryn	Collette	1990-07-24	F	Y	Notting Hill	3168	null	2001-02-24
1263	Kean	Alfredo	Werner	1995-07-17	M	Y	North Rocks	2151	null	2009-12-24
1264	Coolidge	Starr	Edith	1993-02-07	F	Y	Prince Henry Heights	4350	null	2008-11-27
1265	Dever	Griselda	Ines	1936-05-24	F	Y	Frankston North	3200	null	1999-08-17
1266	Nyman	Frederick	Hal	1978-12-15	M	Y	Waverley (Tas.)	7250	null	1999-06-27
1267	Wigginton	Clyde	Vernon	1943-12-02	M	N	Narangba	4504	null	2007-01-01
1268	Pete	Minnie	Neva	1952-02-02	F	Y	Epping (Vic.)	3076	null	2013-04-28
1269	Jessup	Shelli	Dorinda	1952-04-14	F	Y	Colo Heights	2756	null	2000-01-11
1270	Spielman	Martine	Madeleine	1963-07-23	F	Y	Princes Hill	3054	null	2003-08-05
1271	Gass	Tomeka	Bella	2000-11-04	F	Y	Forrestfield	6058	null	2013-09-17
1272	Clarke	Nestor	Raymundo	1979-04-28	M	Y	Nariel Valley	3707	null	2002-09-17
1273	Buchman	Ginny	Cortney	1986-11-26	F	Y	Botany	2019	null	2012-08-07
1274	Hagood	Dominga	Kendra	1954-06-14	F	Y	Denistone West	2114	null	2008-05-28
1275	Nathan	Michel	Herman	1963-03-27	M	Y	Cape Verde	International	null	2001-01-08
1276	Blakeley	Cari	Maria	1966-06-06	F	Y	Petrie	4502	null	2007-05-06
1277	Baggett	Cathi	Alexandria	1995-11-12	F	Y	Southport (Qld)	4215	null	2000-08-23
1278	Snoddy	Heriberto	Marshall	1971-12-26	M	Y	Mount Camel	3523	null	2003-04-10
1279	Wilmer	Delfina	Toni	1944-03-03	F	Y	Brookfield (Vic.)	3338	null	2002-02-15
1280	Geraghty	Shara	Krista	1970-12-08	F	Y	Stockton (NSW)	2295	null	1999-06-28
1281	Winfree	Julian	Bobby	1938-06-19	M	N	Clermont	4721	null	2004-05-13
1282	Haskin	Marlon	Lonny	1996-08-14	M	Y	Coolaroo	3048	null	2001-12-24
